Code poste;Nom poste;Fonction;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste
A.BAI;AIX-LES-BAINS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.912925;45.694088888888885;45.6940888889, 5.912925
COTON;COTONI;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.1084194444444446;49.37048055555556;49.3704805556, 1.10841944444
PUTTE;PUTTELANGE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.917236111111111;49.05748611111111;49.0574861111, 6.91723611111
A.MOU;AIX-MOURET;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;5.435536111111111;43.51995;43.51995, 5.43553611111
LAVIL;LAVILLEDIEU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.1955194444444444;44.03617777777777;44.0361777778, 1.19551944444
HIRSO;HIRSON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.070622222222222;49.92089166666666;49.9208916667, 4.07062222222
SARSA;SARSAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.03281111111111111;43.10180555555556;43.1018055556, -0.0328111111111
ALB;A.L.B.;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.336230555555556;49.65399722222222;49.6539972222, 3.33623055556
MTLUC;MONTLUCON;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.6046833333333335;46.320375000000006;46.320375, 2.60468333333
L.BAL;LAU-BALAGNAS;POSTE DE TRANSFORMATION;EN EXPLOITATION;150kV;-0.10017222222222223;42.99785277777778;42.9978527778, -0.100172222222
TERR6;TERRETTE;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;-1.1877916666666666;49.16089722222222;49.1608972222, -1.18779166667
MTREJ;MONTREJEAU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.57185;43.07861666666667;43.0786166667, 0.57185
Q.ECL;QUATRE-ECLUSES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.3829333333333333;51.02898888888889;51.0289888889, 2.38293333333
VNES;VIGNES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.5529916666666668;46.44453055555555;46.4445305556, 1.55299166667
ARVER;ARVERT;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-1.1467722222222223;45.749544444444446;45.7495444444, -1.14677222222
VENES;VENESMES;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.294011111111111;46.85853888888889;46.8585388889, 2.29401111111
TRELA;TRELAZE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-0.45537500000000003;47.44996666666666;47.4499666667, -0.455375
GUERE;GUERET;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.890197222222222;46.18288611111111;46.1828861111, 1.89019722222
SSMRI;ST-MAURICE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.073483333333333;44.79036111111111;44.7903611111, 6.07348333333
PINED;PINEDE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.962252777777778;43.54386944444444;43.5438694444, 6.96225277778
MTLAU;MONTLAUR;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.5857222222222225;43.47023055555556;43.4702305556, 1.58572222222
ASNIE;ASNIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.284411111111111;48.90483888888889;48.9048388889, 2.28441111111
P.ROU;POTEAU-ROUGE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-3.3114777777777777;47.825094444444446;47.8250944444, -3.31147777778
ANNAY;ANNAY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.9632722222222223;47.73306111111111;47.7330611111, 3.96327222222
TRAVE;TRAVERSE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.2270361111111112;45.60888333333333;45.6088833333, 1.22703611111
V.PRE;VIEUX-PRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.933133333333334;48.44885277777777;48.4488527778, 6.93313333333
HAYBE;HAYBES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.7088527777777776;50.00075833333333;50.0007583333, 4.70885277778
POISS;POISSY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.0511388888888886;48.94084722222222;48.9408472222, 2.05113888889
PAPIN;PAPIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;4.794244444444445;45.34348055555556;45.3434805556, 4.79424444444
SAFE;S.A.F.E.;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;6.147222222222223;49.239675;49.239675, 6.14722222222
MORU;MORU;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.6746055555555555;49.31110833333333;49.3111083333, 2.67460555556
CAIRA;CAIRANNE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.909308333333334;44.21537777777778;44.2153777778, 4.90930833333
P.BEN;PIERRE-BENITE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.843016666666666;45.70249722222223;45.7024972222, 4.84301666667
PITHI;PITHIVIERS;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.2215555555555557;48.16894166666666;48.1689416667, 2.22155555556
BREU5;BREUIL;POSTE DE TRANSFORMATION;EN EXPLOITATION;150kV;4.449741666666667;46.79038333333333;46.7903833333, 4.44974166667
VANVE;VANVES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.279175;48.81289722222222;48.8128972222, 2.279175
ROSTR;ROSTRENEN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-3.3239777777777775;48.246969444444446;48.2469694444, -3.32397777778
ANCEN;ANCENIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-1.1798416666666667;47.377658333333336;47.3776583333, -1.17984166667
RONCI;RONCIERE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.219758333333333;47.06166944444444;47.0616694444, 5.21975833333
PEU.N;PEUGEOT-NORD;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.817286111111111;47.515025;47.515025, 6.81728611111
I.DOD;ISLE-EN-DODON (L);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.8411944444444445;43.37903611111111;43.3790361111, 0.841194444444
BESS6;BESSANGES;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-0.05831111111111111;45.08465833333334;45.0846583333, -0.0583111111111
VOUJE;VOUJEAUCOURT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.770222222222222;47.486158333333336;47.4861583333, 6.77022222222
SSBR6;SAINT-BRICE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;-1.3870833333333332;48.41728611111111;48.4172861111, -1.38708333333
SSCL5;ST-CLAUDE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.839855555555555;46.37903888888889;46.3790388889, 5.83985555556
